sort		id	pop	HI	IH
646	Pikrolia1	Pikrolia1	CUL	0.580250272	0.453210011
142	Kalokerida	Kalokerida	CUL	0.716101695	0.453140578
106	Empeltre	Empeltre	CUL	0.720188026	0.452746165
670	Santa_Martinenga1	Santa_Martinenga1	CUL	0.7190984	0.451284537
192	Maurino	Maurino	CUL	0.648003895	0.448880234
635	Pendolino-1621	Pendolino-1621	CUL	0.618955513	0.448742747
70	Castricianella_rapparina1	Castricianella_rapparina1	CUL	0.585519126	0.44863388
112	Ferkani1	Ferkani1	CUL	0.718430034	0.44807411
189	Maremmano1	Maremmano1	CUL	0.639132554	0.445906433
123	Grappolo	Grappolo	CUL	0.623426912	0.445304937
117	Gentile_di_chieti1	Gentile_di_chieti1	CUL	0.708817829	0.444767442
191	Mastoidis	Mastoidis	CUL	0.701160542	0.443907157
169	Lentisca-2441	Lentisca-2441	CUL	0.666747691	0.440933398
91	Craputea1	Craputea1	CUL	0.653081511	0.440357853
61	Calatina1	Calatina1	CUL	0.704854369	0.439805825
83	Cirujal	Cirujal	CUL	0.660573123	0.438735178
17	Ahia_Ousbaa1	Ahia_Ousbaa1	CUL	0.697432171	0.438468992
624	Ornellaia1	Ornellaia1	CUL	0.668941048	0.438318777
27	Americano1	Americano1	CUL	0.619186047	0.437984496
615	Ogliarola_del_Vulture1	Ogliarola_del_Vulture1	CUL	0.723748773	0.434739941
63	Canivano_Negro	Canivano_Negro	CUL	0.756038647	0.430917874
621	Olivo_di	Olivo_di	CUL	0.649830836	0.429676172
158	Koutsourelia1	Koutsourelia1	CUL	0.719689622	0.42870999
702	Verdiell	Verdiell	CUL	0.732090997	0.428363988
208	Morello_a_punta1	Morello_a_punta1	CUL	0.652427184	0.42815534
93	Crnica-3991	Crnica-3991	CUL	0.668237251	0.426274945
87	Corbella	Corbella	CUL	0.695841393	0.424564797
622	Olivo_di_Casavecchia1	Olivo_di_Casavecchia1	CUL	0.701503395	0.424345296
645	Pidicuddara1	Pidicuddara1	CUL	0.721658711	0.423031026
178	Madonna_dell_impruneta1	Madonna_dell_impruneta1	CUL	0.692698259	0.421179884
214	Nasitana_Frutto_Grosso1	Nasitana_Frutto_Grosso1	CUL	0.733155599	0.418322831
664	Sabatera	Sabatera	CUL	0.658289029	0.41662639
649	Rachati-1811	Rachati-1811	CUL	0.720530175	0.414551607
676	Sinopolese1	Sinopolese1	CUL	0.70270936	0.412315271
662	Rougette_de_Mitidja1	Rougette_de_Mitidja1	CUL	0.736600676	0.409946886
156	Kossiem1	Kossiem1	CUL	0.67858869	0.407926535
101	Dritta_di_Moscufa1	Dritta_di_Moscufa1	CUL	0.702986726	0.407079646
56	Buga	Buga	CUL	0.766312228	0.405509908
630	POR_P43_03_12_S24_L004	POR_P43_03_12_S24_L004	CUL	0.73845776	0.404223969
62	Callosina	Callosina	CUL	0.766256158	0.395566502
212	Morrut	Morrut	CUL	0.750604741	0.395258829
136	Istarska_crnica1	Istarska_crnica1	CUL	0.717738038	0.388593523
665	Salicino1	Salicino1	CUL	0.750846638	0.384131592
76	Changlot_Real	Changlot_Real	CUL	0.762323084	0.374816984
206	Morchione1	Morchione1	CUL	0.709120521	0.374592834
94	Cucca1	Cucca1	CUL	0.699370155	0.373546512
634	Patronet	Patronet	CUL	0.706442167	0.371400683
668	San_Francesco1	San_Francesco1	CUL	0.710628019	0.365217391
633	Palomar	Palomar	CUL	0.71158507	0.363548231
225	Nevado_Rizado	Nevado_Rizado	CUL	0.778315586	0.357212004
218	Negrillo_de_Arjona	Negrillo_de_Arjona	CUL	0.781747948	0.353452438
679	Storta1	Storta1	CUL	0.752800779	0.353141744
620	Olivo_del_Mulino1	Olivo_del_Mulino1	CUL	0.777266117	0.351429956
107	Enagua_de_Arenas	Enagua_de_Arenas	CUL	0.787487829	0.349074976
643	Picual2	Picual2	CUL	0.774396135	0.346859903
22	Alameno_Blanco	Alameno_Blanco	CUL	0.778802993	0.346633416
699	Verdial_de_Badajoz	Verdial_de_Badajoz	CUL	0.785164271	0.343429158
658	Ronde_de_la_Menara1	Ronde_de_la_Menara1	CUL	0.788303528	0.340260996
644	Picudo	Picudo	CUL	0.791727141	0.339138849
672	Sebhawy1	Sebhawy1	CUL	0.795135406	0.337512538
144	Karbuncela1	Karbuncela1	CUL	0.793078412	0.336398838
137	Itrana	Itrana	CUL	0.786718371	0.334464372
642	Picual	Picual	CUL	0.775347401	0.334019557
648	Puntoza1	Puntoza1	CUL	0.794507111	0.332515939
68	Carrasquillo	Carrasquillo	CUL	0.787339268	0.332344214
177	Machorron	Machorron	CUL	0.795177789	0.331709693
637	Picholine	Picholine	CUL	0.800565327	0.331030151
64	Cariasina1	Cariasina1	CUL	0.795014521	0.330590513
77	Chemchali1	Chemchali1	CUL	0.78757854	0.328177864
224	Nevado_Basto	Nevado_Basto	CUL	0.788888889	0.327536232
703	Villalonga	Villalonga	CUL	0.769995032	0.32687531
647	Plementa_Bjelica	Plementa_Bjelica	CUL	0.784186972	0.324216808
223	Nevado_Azul	Nevado_Azul	CUL	0.804516756	0.323943662
693	Varudo	Varudo	CUL	0.795542636	0.323643411
24	Albatro1	Albatro1	CUL	0.789346247	0.323486683
700	Verdial_de_Huevar	Verdial_de_Huevar	CUL	0.786083956	0.320874066
667	Samo1	Samo1	CUL	0.802956859	0.320407174
74	Cerezuela	Cerezuela	CUL	0.791666667	0.319767442
109	Escarabajuelo_de_Posadas	Escarabajuelo_de_Posadas	CUL	0.797769156	0.319107662
619	Olivo_de_Mancha_Real	Olivo_de_Mancha_Real	CUL	0.808695652	0.31884058
139	Jaropo	Jaropo	CUL	0.796224589	0.317521781
654	Rechino	Rechino	CUL	0.804637527	0.317164179
210	Morisca	Morisca	CUL	0.802638007	0.316560821
175	Lumbardeska1	Lumbardeska1	CUL	0.79825	0.3165
80	Chorruo	Chorruo	CUL	0.803675048	0.316247582
114	Fulla_de	Fulla_de	CUL	0.806013579	0.316197866
217	Negrillo_Redondo	Negrillo_Redondo	CUL	0.802529183	0.31614786
170	Limoncillo	Limoncillo	CUL	0.801582649	0.314771395
90	Cornicabra	Cornicabra	CUL	0.805622879	0.314105671
187	Manzanilla_de_Montefrio	Manzanilla_de_Montefrio	CUL	0.814707305	0.312530237
219	Negrillo_de_Estepa	Negrillo_de_Estepa	CUL	0.806373732	0.311926606
66	Carrasqueno_de_Elvas	Carrasqueno_de_Elvas	CUL	0.809720457	0.310673443
639	Picholine_Marocaine	Picholine_Marocaine	CUL	0.802028006	0.309995171
695	Velika_Lastovka1	Velika_Lastovka1	CUL	0.814161431	0.307878202
127	Habichuelero_de_Grazalema	Habichuelero_de_Grazalema	CUL	0.810795455	0.303409091
52	Bouchouika1	Bouchouika1	CUL	0.813834951	0.303398058
220	Negrillo_de_Iznalloz	Negrillo_de_Iznalloz	CUL	0.8	0.301960784
67	Carrasqueno_de_Jumilla	Carrasqueno_de_Jumilla	CUL	0.812923524	0.301548887
640	Picholine_Marocaine2	Picholine_Marocaine2	CUL	0.804476144	0.30152484
132	Hojiblanca	Hojiblanca	CUL	0.802348337	0.301369863
173	Loaime	Loaime	CUL	0.80950049	0.300685602
655	Redondal1	Redondal1	CUL	0.808949221	0.300653595
650	Racimal	Racimal	CUL	0.810412574	0.300589391
179	Madural-2081	Madural-2081	CUL	0.805651958	0.297471492
616	Ojo_de_Liebre	Ojo_de_Liebre	CUL	0.814223512	0.296081277
184	Manzanilla_de	Manzanilla_de	CUL	0.81195122	0.295121951
84	Cobrancosa	Cobrancosa	CUL	0.819160388	0.292787944
122	Gordal_de_Granada	Gordal_de_Granada	CUL	0.822790922	0.292612265
675	Simjaca1	Simjaca1	CUL	0.814644756	0.292411793
628	POR_P39_37_21_S12_L004	POR_P39_37_21_S12_L004	CUL	0.821201759	0.292134831
186	Manzanilla_de_Hellin	Manzanilla_de_Hellin	CUL	0.817479479	0.291646548
211	Morona	Morona	CUL	0.808268859	0.291586074
88	Cordovil_de	Cordovil_de	CUL	0.819883325	0.290228488
29	Ascolana_Tenera	Ascolana_Tenera	CUL	0.819040698	0.289244186
36	Bed_Al_Iguel1	Bed_Al_Iguel1	CUL	0.822222222	0.288888889
185	Manzanilla_de_Agua	Manzanilla_de_Agua	CUL	0.814118222	0.287738153
102	Dulzal	Dulzal	CUL	0.81184669	0.287705326
697	Verdala	Verdala	CUL	0.815942029	0.286956522
35	Barouni1	Barouni1	CUL	0.819323671	0.285990338
694	Varudo-2751	Varudo-2751	CUL	0.819466248	0.285714286
641	Pico_Limon_de_Grazalema	Pico_Limon_de_Grazalema	CUL	0.818851252	0.28473245
626	POR_P29_33_10_S62_L004	POR_P29_33_10_S62_L004	CUL	0.805737292	0.283844992
652	Ravece1	Ravece1	CUL	0.818493151	0.282778865
